Waf: Entering directory `/Users/sangheon/Desktop/ns-3-dev/build'
[1934/1986] Compiling scratch/dumbbell.cc
[1948/1986] Linking build/scratch/dumbbell
Waf: Leaving directory `/Users/sangheon/Desktop/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.889s)
flow2  11.2s: 	22.2118 Mbit/s
flow3  11.2s: 	22.9408 Mbit/s
flow0  11.3s: 	22.7693 Mbit/s
flow1  11.3s: 	22.7264 Mbit/s
flow2  11.3s: 	22.6835 Mbit/s
flow3  11.3s: 	22.6835 Mbit/s
flow0  11.4s: 	22.7693 Mbit/s
flow1  11.4s: 	22.6406 Mbit/s
flow2  11.4s: 	22.6835 Mbit/s
flow3  11.4s: 	22.7264 Mbit/s
flow0  11.5s: 	22.6406 Mbit/s
flow1  11.5s: 	22.7693 Mbit/s
flow2  11.5s: 	22.7693 Mbit/s
flow3  11.5s: 	22.6835 Mbit/s
flow0  11.6s: 	22.7264 Mbit/s
flow1  11.6s: 	22.7693 Mbit/s
flow2  11.6s: 	22.6406 Mbit/s
flow3  11.6s: 	22.7264 Mbit/s
flow0  11.7s: 	22.6835 Mbit/s
flow1  11.7s: 	22.6406 Mbit/s
flow2  11.7s: 	22.7264 Mbit/s
flow3  11.7s: 	22.7693 Mbit/s
flow0  11.8s: 	22.7264 Mbit/s
flow1  11.8s: 	22.7264 Mbit/s
flow2  11.8s: 	22.7693 Mbit/s
flow3  11.8s: 	22.6406 Mbit/s
flow0  11.9s: 	22.7264 Mbit/s
flow1  11.9s: 	22.7693 Mbit/s
flow2  11.9s: 	22.6406 Mbit/s
flow3  11.9s: 	22.7264 Mbit/s
flow0  12s: 	22.6835 Mbit/s
flow1  12s: 	22.6406 Mbit/s
flow2  12s: 	22.7693 Mbit/s
flow3  12s: 	22.7264 Mbit/s
flow0  12.1s: 	22.7264 Mbit/s
flow1  12.1s: 	22.7693 Mbit/s
flow2  12.1s: 	22.6835 Mbit/s
flow3  12.1s: 	22.6835 Mbit/s
flow0  12.2s: 	22.7693 Mbit/s
flow1  12.2s: 	22.6406 Mbit/s
flow2  12.2s: 	22.6835 Mbit/s
flow3  12.2s: 	22.7693 Mbit/s
flow0  12.3s: 	22.6406 Mbit/s
flow1  12.3s: 	22.7264 Mbit/s
flow2  12.3s: 	22.7693 Mbit/s
flow3  12.3s: 	22.6835 Mbit/s
flow0  12.4s: 	22.7264 Mbit/s
flow1  12.4s: 	22.7693 Mbit/s
flow2  12.4s: 	22.6835 Mbit/s
flow3  12.4s: 	22.6835 Mbit/s
flow0  12.5s: 	22.6835 Mbit/s
flow1  12.5s: 	22.6406 Mbit/s
flow2  12.5s: 	22.7264 Mbit/s
flow3  12.5s: 	22.7693 Mbit/s
flow0  12.6s: 	22.7264 Mbit/s
flow1  12.6s: 	22.7693 Mbit/s
flow2  12.6s: 	22.7264 Mbit/s
flow3  12.6s: 	22.6406 Mbit/s
flow0  12.7s: 	22.7693 Mbit/s
flow1  12.7s: 	22.6835 Mbit/s
flow2  12.7s: 	22.6406 Mbit/s
flow3  12.7s: 	22.7693 Mbit/s
flow0  12.8s: 	22.6406 Mbit/s
flow1  12.8s: 	22.6835 Mbit/s
flow2  12.8s: 	22.7693 Mbit/s
flow3  12.8s: 	22.7264 Mbit/s
flow0  12.9s: 	22.7264 Mbit/s
